<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20121111000000,10,10,10,10,0
20121112000000,10,10,10,10,0
20121113000000,10,11,11,11,0
20121114000000,11,11,11,11,0
20121115000000,11,12,11,12,0
20121116000000,12,12,12,12,0
20121117000000,12,13,12,13,0
20121118000000,13,13,13,13,0
20121119000000,13,14,13,14,0
20121120000000,14,14,14,14,0
20121121000000,14,14,13,13,0
20121122000000,13,13,13,13,0
20121123000000,13,13,12,12,0
20121124000000,12,12,12,12,0
20121125000000,12,12,11,11,0
20121126000000,11,11,11,11,0
20121127000000,11,11,10,10,0
20121128000000,10,10,10,10,0
20121129000000,10,11,10,11,0
20121130000000,11,11,11,11,0
20121201000000,11,12,11,12,0
20121202000000,12,12,12,12,0
20121203000000,12,13,12,13,0
20121204000000,13,13,13,13,0
20121205000000,13,14,13,14,0
20121206000000,14,14,14,14,0
20121207000000,14,14,13,13,0
20121208000000,13,13,13,13,0
20121209000000,13,13,12,12,0
20121210000000,12,12,12,12,0
20121211000000,12,12,11,11,0
20121212000000,11,11,11,11,0
20121213000000,11,11,10,10,0
20121214000000,10,10,10,10,0
20121215000000,10,11,11,11,0
20121216000000,11,11,11,11,0
20121217000000,11,12,11,12,0
20121218000000,12,12,12,12,0
20121219000000,12,13,12,13,0
20121220000000,13,13,13,13,0
20121221000000,13,14,13,14,0
20121222000000,14,14,14,14,0
20121223000000,14,14,13,13,0
20121224000000,13,13,13,13,0
20121225000000,13,13,12,12,0
20121226000000,12,12,12,12,0
20121227000000,12,12,11,11,0
20121228000000,11,11,11,11,0
20121229000000,11,11,10,10,0
20121230000000,10,10,10,10,0
20121231000000,10,11,10,11,0
20130101000000,11,11,11,11,0
20130102000000,11,12,11,12,0
20130103000000,12,12,12,12,0
20130104000000,12,13,12,13,0
20130105000000,13,13,13,13,0
20130106000000,13,14,13,14,0
20130107000000,14,14,14,14,0
20130108000000,14,14,13,13,0
20130109000000,13,13,13,13,0
20130110000000,13,13,12,12,0
20130111000000,12,12,12,12,0
20130112000000,12,12,11,11,0
20130113000000,11,11,11,11,0
20130114000000,11,11,10,10,0
20130115000000,10,10,10,10,0
20130116000000,10,11,11,11,0
20130117000000,11,11,11,11,0
20130118000000,11,12,11,12,0
20130119000000,12,12,12,12,0
20130120000000,12,13,12,13,0
20130121000000,13,13,13,13,0
20130122000000,13,14,13,14,0
20130123000000,14,14,14,14,0
20130124000000,14,14,13,13,0
20130125000000,13,13,13,13,0
20130126000000,13,13,12,12,0
20130127000000,12,12,12,12,0
20130128000000,12,12,11,11,0
20130129000000,11,11,11,11,0
20130130000000,11,11,10,10,0
20130131000000,10,10,10,10,0
20130201000000,10,11,11,11,0
20130202000000,11,11,11,11,0
20130203000000,11,12,11,12,0
20130204000000,12,12,12,12,0
20130205000000,12,13,12,13,0
20130206000000,13,13,13,13,0
20130207000000,13,14,13,14,0
20130208000000,14,14,14,14,0
20130209000000,14,14,13,13,0
20130210000000,13,13,13,13,0
20130211000000,13,13,12,12,0
20130212000000,12,12,12,12,0
20130213000000,12,12,11,11,0
20130214000000,11,11,11,11,0
20130215000000,11,11,10,10,0
20130216000000,10,10,10,10,0
20130217000000,10,11,11,11,0
20130218000000,11,11,11,11,0
20130219000000,11,12,11,12,0
20130220000000,12,12,12,12,0
20130221000000,12,13,12,13,0
20130222000000,13,13,13,13,0
20130223000000,13,14,13,14,0
20130224000000,14,14,14,14,0
20130225000000,14,14,13,13,0
20130226000000,13,13,13,13,0
20130227000000,13,13,12,12,0
20130228000000,12,12,12,12,0
20130301000000,12,12,11,11,0
20130302000000,11,11,11,11,0
20130303000000,11,11,10,10,0
20130304000000,10,10,10,10,0
20130305000000,10,11,11,11,0
20130306000000,11,11,11,11,0
20130307000000,11,12,11,12,0
20130308000000,12,12,12,12,0
20130309000000,12,13,12,13,0
20130310000000,13,13,13,13,0
20130311000000,13,14,13,14,0
20130312000000,14,14,14,14,0
20130313000000,14,14,13,13,0
