Pfam_domain	1st_count(3858)	2nd_count(561)	p_value
P5CR_dimer	4	0	0.9906404858530348
F420_oxidored	105	23	0.09218995593079803
NAD_binding_2	85	12	0.9543382460236727
PDH	16	6	0.08222346189398252
Shikimate_DH	69	6	0.29053492328469
ApbA	64	11	0.7320937471441451
2-Hacid_dh_C	142	16	0.3865184826593354
NAD_Gly3P_dh_N	36	10	0.10320141862535988
IlvN	48	0	0.014751156551881797
Fer2_2	9	0	0.5195610922522664
Fer2	27	0	0.08958224415736332
Fer2_3	18	0	0.2053583812033527
Fer2_4	11	0	0.4162701788390599
Pectinesterase	2	0	0.6011013351293193
TAT_signal	15	0	0.27529255503166317
UCR_Fe-S_N	2	0	0.6011013351293193
Glyco_hydro_38	4	0	0.9906404858530348
Glyco_hydro_38C	4	0	0.9906404858530348
Alpha-mann_mid	4	0	0.9906404858530348
SCAN	3	0	0.836250774792703
Glyco_hydro_3	17	0	0.22615014432650699
Glyco_hydro_3_C	13	0	0.3371696569347064
Fn3-like	7	0	0.6587784134617484
Aldolase_II	6	0	0.7480997578688542
FAD_binding_2	104	29	0.002127057394030844
Succ_DH_flav_C	15	0	0.27529255503166317
Thi4	71	22	0.002276733749715347
DAO	112	34	0.0001548298435761742
HI0933_like	101	26	0.01121042287727131
Pyr_redox_2	159	30	0.21884332182805566
DUF1978	1	0	0.2624307650553325
Ribonuc_red_sm	5	0	0.856268918808408
DUF3792	3	0	0.836250774792703
4HFCP_synth	4	0	0.9906404858530348
SDH_alpha	5	0	0.856268918808408
SDH_beta	5	0	0.856268918808408
MmgE_PrpD	5	0	0.856268918808408
Pyridoxal_deC	18	0	0.2053583812033527
SepSecS	8	0	0.5836447586359561
Aminotran_5	81	11	0.9546825577070888
Beta_elim_lyase	63	6	0.410184377996314
Aminotran_1_2	77	20	0.02669392882566932
AMP-binding	69	10	0.8724482870158418
ACAS_N	12	0	0.3742075563356181
AMP-binding_C	52	7	0.9969078650513483
CBM_48	15	0	0.27529255503166317
Alpha-amylase_C	12	0	0.3742075563356181
Alpha-amylase	43	0	0.02245130424214274
Glyco_hydro_70	8	0	0.5836447586359561
Arginase	8	0	0.5836447586359561
UPF0489	4	0	0.9906404858530348
DUF3373	3	0	0.836250774792703
Lum_binding	4	0	0.9906404858530348
Rieske	12	0	0.3742075563356181
Rieske_2	10	0	0.4643114445318468
Aminotran_4	10	0	0.4643114445318468
Ldh_1_C	5	0	0.856268918808408
Ldh_1_N	11	3	0.5611924192705847
Stealth_CR1	2	0	0.6011013351293193
Acyltransferase	16	0	0.24934643648548746
ACP_syn_III_C	23	8	0.05363442287327906
ACP_syn_III	23	18	6.849572488707812e-09
FAE1_CUT1_RppA	8	0	0.5836447586359561
SpoVAD	2	6	1.8731812789800624e-06
Transketolase_N	23	5	0.5903435963987117
Transketolase_C	29	10	0.027974043281501836
PaaX	2	0	0.6011013351293193
DUF3135	4	0	0.9906404858530348
peroxidase	3	0	0.836250774792703
Indigoidine_A	4	0	0.9906404858530348
NADHdh	8	0	0.5836447586359561
SHMT	17	1	0.5775281141590435
NTP_transf_3	31	10	0.04294909913466513
Hexapep	18	0	0.2053583812033527
NTP_transferase	19	7	0.05873293790177264
IspD	15	7	0.017316089822030145
Hexapep_2	13	0	0.3371696569347064
CTP_transf_3	4	2	0.36495882793462575
DNA_methylase	9	0	0.5195610922522664
4HBT_3	8	0	0.5836447586359561
Acyl_CoA_thio	8	0	0.5836447586359561
4HBT	5	1	0.7480997578688542
Fer4_11	5	0	0.856268918808408
Nitr_red_bet_C	4	0	0.9906404858530348
Fer4_10	27	0	0.08958224415736332
Fer4_7	24	0	0.11739180328327824
Fer4_6	23	0	0.12861392475347252
Fer4_2	21	0	0.15470072547478098
Fer4	24	0	0.11739180328327824
Fer4_9	27	0	0.08958224415736332
Fer4_4	20	0	0.16986456537330613
Fer4_13	12	0	0.3742075563356181
Fer4_17	23	0	0.12861392475347252
Fer4_8	24	0	0.11739180328327824
Fer4_21	21	0	0.15470072547478098
Cys_Met_Meta_PP	50	9	0.6909506663663867
DegT_DnrJ_EryC1	60	12	0.3997175793947618
IDH	3	0	0.836250774792703
Pr_beta_C	2	0	0.6011013351293193
PAP2	17	0	0.22615014432650699
PAP2_3	17	0	0.22615014432650699
DUF212	3	0	0.836250774792703
